,0,1
0,touristy popular in nonclassical active effective brilliant to tinkling design name,0
1,carver,1
2,the maze runner series complete collection,1
3,dogsbody to by about,0
4,the triton brig,1
5,slop diervilla to wamble move dance planning,0
6,recission of cancellation astilbe,0
7,lucy unstrung,1
8,double whammy,1
9,treasonable agree in gadgetry,0
10,safar neck neckline sweater,0
11,ercilla with illegitimacy,0
12,the baking life of amelie day,1
13,search journey lublin condole pressing trip,0
14,sea change,1
15,subsystem structure neglect plus,0
16,arms of mercy,1
17,landing draw in arroyo,0
18,pycnanthemum finished smash of resile spinel,0
19,love has no limits,1
20,the secret doctrine,1
21,cronus of plant,0
22,lophosoriaceae foiled abortive unfruitful acarpous homemaker childless chlamydospore of,0
23,drop dead punk,1
24,blowback misinformation disinformation to,0
25,sphaeriaceae horned into unplayful of,0
26,vidar to outset,0
27,monumentalise timepiece sundial,0
28,schlimazel unfortunate to,0
29,the boy with a broken heart,1
30,the anthology,1
31,saale of extraordinary immoderate of,0
32,unawares,1
33,reveille oppressor knacker stressed gender,0
34,the scornful corpse,1
35,i can predict the future,1
36,trinketry collection approach draftsperson access operation of language trouble tsuris entice,0
37,snap,1
38,iwo blasted again,1
39,northeaster storm rape,0
40,dysgraphia of implement,0
41,the becoming,1
42,good deeds must be punished,1
43,postmeridian paid pigweed,0
44,christella on fern spleenwort,0
45,hardhearted uncompassionate procession,0
46,ky sanctum antiparticle,0
47,unimaginable,1
48,overgreedy gluttonous bessemer hoggish,0
49,rex,1
50,micrometry in lucent sounding twang,0
51,gotterdammerung caespitose anoint,0
52,the doubtful doctor,1
53,no good deed,1
54,peepshow rodeo exhibition fair state vote malacanthidae,0
55,burqa garment necktie,0
56,rescuing rapunzel,1
57,radiophotography telephotography with on in,0
58,polysynthetic dummy mute,0
59,bronte girls,1
60,additional to tiptop,0
61,welwitschia balsam from,0
62,aerolite meteorite siderite,0
63,the three billy goats gruff,1
64,diazotize to set annealing to hardening,0
65,the long goodbye,1
66,semicomatose cold at of to on intense saturated,0
67,convulsively in beguiling codefendant work osteal propel,0
68,the colonial upstart,1
69,the collected stories of hortense calisher,1
70,owens in claystone swing into,0
71,extreme makeover,1
72,acetonemia symptom indication mention mock,0
73,mulloidichthys retraction motion deflection movement,0
74,scurrility use quality chafflike rescue womb reprieve,0
75,burning bright,1
76,gesticulate to shake,0
77,counterweight of oppose close fur cover concealment,0
78,outrage hurt in,0
79,telamon in column hoodoo oblige,0
80,the uncertain years,1
81,commutator of selector untiring forbearing area kingdom serum,0
82,the final addiction,1
83,catsup activity trait,0
84,boysenberry in whoremonger invisibility,0
85,triumph to of,0
86,pteridophyte fern spleenwort,0
87,the weight of winter,1
88,goodnight moon,1
89,tara kane,1
90,bliss,1
91,journey to almost there,1
92,safe house,1
93,bestialise alkalinize of,0
94,airs beneath the moon,1
95,midgrass to change,0
96,the betel nut tree mystery,1
97,prayers of the innocent,1
98,candlestick computer hunt investigate,0
99,the big chili,1
100,symbolist but interpreter for,0
