,0
0,of
1,into
2,in
3,to
4,in
5,from
6,in
7,between
8,like
9,of
10,to
11,in
12,to
13,by
14,on
15,about
16,to
17,down
18,in
19,in
20,up
21,for
22,to
23,in
24,to
25,on
26,before
27,about
28,in
29,by
30,in
31,of
32,of
33,to
34,of
35,of
36,of
37,in
38,to
39,of
40,of
41,before
42,to
43,with
44,to
45,out
46,down
47,to
48,of
49,of
50,with
51,but
52,over
53,of
54,but
55,to
56,to
57,for
58,to
59,into
60,with
61,of
62,of
63,from
64,for
65,to
66,of
67,of
68,for
69,for
70,among
71,to
72,from
73,of
74,to
75,to
76,on
77,of
78,along
79,at
80,at
81,for
82,within
83,to
84,to
85,by
86,for
87,of
88,in
89,between
90,on
91,in
92,into
93,on
94,at
95,into
96,of
97,with
98,in
99,of
100,in
101,to
102,to
103,at
104,of
105,for
106,from
107,but
108,in
109,into
110,of
111,to
112,to
113,but
114,of
115,to
116,for
117,with
118,of
119,since
120,to
121,of
122,to
123,of
124,out
125,in
126,but
127,into
128,during
129,of
130,into
131,of
132,by
133,about
134,around
135,to
136,at
137,of
138,of
139,of
140,by
141,for
142,of
143,to
144,out
145,on
146,by
147,to
148,but
149,to
150,for
151,about
152,under
153,to
154,of
155,to
156,with
157,but
158,about
159,of
160,in
161,by
162,on
163,like
164,to
165,from
166,about
167,of
168,with
169,near
170,of
171,of
172,into
173,for
174,on
175,to
176,of
177,by
178,with
179,down
180,at
181,from
182,on
183,with
184,of
185,of
186,in
187,for
188,to
189,of
190,of
191,upon
192,of
193,of
194,but
195,by
196,in
197,of
198,but
199,to
200,of
201,under
202,of
203,to
204,of
205,out
206,in
207,without
208,of
209,for
210,but
211,from
212,to
213,of
214,of
215,on
216,with
217,in
218,to
219,of
220,to
221,to
222,to
223,to
224,in
225,of
226,of
227,of
228,of
229,of
230,of
231,at
232,for
233,at
234,of
235,in
236,from
237,by
238,with
239,of
240,but
241,by
242,into
243,of
244,of
245,of
246,for
247,with
248,from
249,with
250,to
251,about
252,of
253,of
254,to
255,of
256,to
257,of
258,before
259,to
260,of
261,including
262,to
263,at
264,to
265,to
266,of
267,to
268,of
269,in
270,to
271,but
272,by
273,of
274,to
275,in
276,to
277,on
278,in
279,of
280,to
281,to
282,to
283,for
284,to
285,of
286,in
287,in
288,of
289,for
290,with
291,in
292,since
293,in
294,by
295,to
296,to
297,in
298,about
299,of
300,of
301,but
302,for
303,in
304,in
305,of
306,on
307,of
308,to
309,with
310,on
311,from
312,of
313,after
314,of
315,of
316,to
317,on
318,to
319,but
320,with
321,in
322,with
323,in
324,to
325,for
326,by
327,in
328,of
329,at
330,to
331,of
332,of
333,to
334,but
335,to
336,at
337,in
338,to
339,of
340,in
341,to
342,on
343,to
344,to
345,to
346,on
347,to
348,including
349,for
350,in
351,with
352,of
353,since
354,through
355,through
356,to
357,on
358,but
359,of
360,of
361,of
362,to
363,for
364,to
365,for
366,at
367,with
368,between
369,to
370,but
371,from
372,in
373,in
374,in
375,on
376,but
377,of
378,on
379,until
380,about
381,to
382,on
383,in
384,but
385,before
386,for
387,but
388,with
389,but
390,with
391,out
392,up
393,to
394,on
395,in
396,for
397,around
398,to
399,in
400,on
401,at
402,in
403,from
404,for
405,on
406,at
407,to
408,with
409,to
410,of
411,from
412,of
413,out
414,from
415,of
416,for
417,to
418,in
419,in
420,by
421,but
422,at
423,to
424,with
425,to
426,to
427,like
428,about
429,to
430,about
431,of
432,of
433,in
434,in
435,to
436,in
437,to
438,up
439,for
440,about
441,to
442,to
443,in
444,with
445,to
446,like
447,of
448,for
449,to
450,of
451,of
452,on
453,in
454,on
455,on
456,in
457,by
458,to
459,in
460,for
461,on
462,for
463,of
464,in
465,of
466,on
467,for
468,in
469,to
470,in
471,about
472,to
473,with
474,by
475,of
476,of
477,over
478,for
479,of
480,by
481,of
482,but
483,in
484,of
485,but
486,in
487,on
488,on
489,at
490,to
491,up
492,to
493,to
494,to
495,of
496,of
497,up
498,of
499,of
500,with
501,in
502,to
503,in
504,to
505,along
506,of
507,in
508,for
509,from
510,of
511,for
512,like
513,over
514,to
515,for
516,at
517,but
518,of
519,in
520,for
521,of
522,throughout
523,to
524,for
525,of
526,to
527,in
528,before
529,in
530,out
531,of
532,of
533,out
534,from
535,of
536,to
537,to
538,with
539,but
540,of
541,of
542,with
543,about
544,of
545,to
546,in
547,with
548,for
549,of
550,by
551,to
552,in
553,of
554,along
555,of
556,of
557,on
558,of
559,on
560,with
561,of
562,to
563,for
564,of
565,of
566,at
567,of
568,at
569,of
570,to
571,to
572,to
573,with
574,to
575,to
576,to
577,in
578,of
579,to
580,by
581,with
582,in
583,about
584,of
585,to
586,on
587,but
588,but
589,to
590,for
591,against
592,in
593,with
594,to
595,for
596,to
597,to
598,of
599,to
600,for
601,in
602,to
603,to
604,to
605,to
606,in
607,in
608,for
609,at
610,to
611,to
612,to
613,of
614,on
615,of
616,for
617,for
618,since
619,to
620,of
621,in
622,out
623,at
624,for
625,to
626,to
627,in
628,with
629,on
630,by
631,by
632,through
633,by
634,to
635,between
636,to
637,about
638,over
639,to
640,of
641,with
642,to
643,out
644,of
645,but
646,for
647,of
648,to
649,but
650,before
651,in
652,of
653,up
654,in
655,to
656,but
657,among
658,on
659,with
660,for
661,in
662,of
663,from
664,of
665,in
666,in
667,out
668,in
669,at
670,of
671,of
672,for
673,to
674,to
675,for
676,for
677,to
678,on
679,for
680,to
681,but
682,of
683,on
684,for
685,of
686,of
687,at
688,of
689,to
690,to
691,for
692,off
693,along
694,into
695,by
696,up
697,of
698,of
699,in
700,under
701,of
702,of
703,from
704,for
705,to
706,in
707,of
708,with
709,with
710,at
711,in
712,into
713,to
714,from
715,about
716,of
717,of
718,to
719,like
720,of
721,to
722,of
723,to
724,in
725,without
726,to
727,to
728,to
729,through
730,for
731,of
732,of
733,of
734,of
735,under
736,but
737,of
738,at
739,by
740,to
741,of
742,to
743,to
744,to
745,of
746,at
747,for
748,to
749,on
750,to
751,of
752,for
753,like
754,to
755,of
756,for
757,about
758,into
759,of
760,but
761,into
762,of
763,of
764,of
765,for
766,of
767,to
768,of
769,but
770,to
771,to
772,to
773,after
774,like
775,up
776,of
777,towards
778,of
779,before
780,to
781,in
782,of
783,on
784,to
785,in
786,to
787,from
788,for
789,of
790,from
791,in
792,on
793,to
794,for
795,for
796,for
797,to
798,to
799,for
800,in
801,in
802,but
803,to
804,by
805,with
806,including
807,to
808,in
809,on
810,by
811,to
812,up
813,by
814,to
815,with
816,to
817,to
818,for
819,in
820,up
821,of
822,to
823,at
824,of
825,of
826,to
827,like
828,on
829,of
830,in
831,in
832,in
833,in
834,for
835,to
836,of
837,to
838,to
839,on
840,through
841,on
842,for
843,on
844,to
845,of
846,in
847,to
848,at
849,about
850,with
851,in
852,to
853,into
854,to
855,from
856,upon
857,in
858,of
859,from
860,of
861,but
862,to
863,to
864,of
865,across
866,for
867,to
868,of
869,for
870,with
871,but
872,down
873,up
874,to
875,like
876,to
877,of
878,of
879,like
880,by
881,for
882,to
883,about
884,of
885,to
886,off
887,of
888,with
889,to
890,on
891,in
892,on
893,of
894,of
895,of
896,to
897,over
898,like
899,for
900,about
901,for
902,for
903,of
904,to
905,for
906,of
907,on
908,in
909,of
910,into
911,in
912,out
913,of
914,to
915,for
916,in
917,of
918,to
919,of
920,but
921,of
922,for
923,with
924,from
925,by
926,through
927,but
928,over
929,to
930,for
931,for
932,in
933,to
934,to
935,in
936,to
937,but
938,of
939,of
940,with
941,of
942,of
943,for
944,to
945,of
946,of
947,of
948,of
949,for
950,of
951,for
952,but
953,for
954,from
955,to
956,for
957,up
958,into
959,about
960,from
961,up
962,to
963,before
964,to
965,to
966,of
967,for
968,by
969,to
970,like
971,to
972,of
973,around
974,to
975,for
976,to
977,of
978,of
979,to
980,in
981,of
982,among
983,of
984,of
985,to
986,to
987,of
988,with
989,with
990,to
991,to
992,of
993,with
994,to
995,to
996,of
997,with
998,about
999,of
1000,to
1001,of
1002,with
1003,for
1004,into
1005,up
1006,from
1007,by
1008,with
1009,in
1010,of
1011,to
1012,to
1013,but
1014,on
1015,of
1016,since
1017,but
1018,up
1019,for
1020,of
1021,on
1022,with
1023,in
1024,to
1025,on
1026,of
1027,but
1028,of
1029,to
1030,of
1031,into
1032,but
1033,for
1034,of
1035,including
1036,in
1037,to
1038,to
1039,for
1040,of
1041,to
1042,at
1043,with
1044,of
1045,to
1046,in
1047,in
1048,of
1049,of
1050,in
1051,of
1052,by
1053,but
1054,before
1055,of
1056,to
1057,with
1058,but
1059,of
1060,about
1061,of
1062,since
1063,to
1064,from
1065,in
1066,in
1067,of
1068,after
1069,in
1070,of
1071,in
1072,over
1073,of
1074,for
1075,in
1076,by
1077,to
1078,from
1079,of
1080,but
1081,up
1082,of
1083,of
1084,but
1085,on
1086,until
1087,for
1088,about
1089,from
1090,during
1091,in
1092,across
1093,to
1094,of
1095,since
1096,to
1097,by
1098,like
1099,to
1100,to
1101,to
1102,to
1103,for
1104,of
1105,with
1106,for
1107,of
1108,of
1109,through
1110,of
1111,with
1112,out
1113,of
1114,to
1115,of
1116,to
1117,in
1118,of
1119,by
1120,by
1121,over
1122,by
1123,for
1124,for
1125,to
1126,to
1127,of
1128,in
1129,before
1130,at
1131,with
1132,from
1133,of
1134,to
1135,for
1136,for
1137,over
1138,of
1139,to
1140,of
1141,with
1142,of
1143,under
1144,in
1145,during
1146,with
1147,over
1148,in
1149,to
1150,of
1151,to
1152,at
1153,for
1154,with
1155,at
1156,for
1157,like
1158,with
1159,to
1160,to
1161,into
1162,from
1163,of
1164,of
1165,of
1166,of
1167,to
1168,during
1169,for
1170,after
1171,by
1172,with
