,0
0,abactinal
1,abandoned
2,abashed
3,abasic
4,abatable
5,abatic
6,abaxial
7,abbatial
8,abbreviated
9,abdicable
10,abdominal
11,abdominous
12,abdominovesical
13,abducent
14,abducting
15,abecedarian
16,aberdonian
17,aberrant
18,abeyant
19,abhorrent
20,abiding
21,abient
22,abiogenetic
23,abject
24,abkhaz
25,abkhazian
26,ablated
27,ablative
28,ablaze
29,able
30,abloom
31,ablutionary
32,abnaki
33,abnormal
34,abolishable
35,abolitionary
36,abomasal
37,abominable
38,aboral
39,aboriginal
40,abortifacient
41,abortive
42,aboulic
43,abounding
44,about
45,above
46,aboveboard
47,aboveground
48,abranchial
49,abranchiate
50,abranchious
51,abrasive
52,abreast
53,abridged
54,abroach
55,abroad
56,abrupt
57,abscessed
58,absent
59,absentminded
60,absolute
61,absolutist
62,absolutistic
63,absolved
64,absolvitory
65,absorbable
66,absorbed
67,absorbefacient
68,absorbent
69,absorbing
70,absorptive
71,abstemious
72,abstentious
73,abstinent
74,abstract
75,abstracted
76,abstractionist
77,abstractive
78,abstruse
79,absurd
80,abulic
81,abundant
82,abused
83,abusive
84,abuzz
85,abysmal
86,abyssal
87,academic
88,acanthoid
89,acanthotic
90,acanthous
91,acapnial
92,acapnic
93,acapnotic
94,acarpellous
95,acarpelous
96,acarpous
97,acatalectic
98,acaudal
99,acaudate
100,acaulescent
101,accelerando
102,accelerated
103,accelerative
104,acceleratory
105,accented
106,accentual
107,acceptable
108,acceptant
109,accepted
110,accepting
111,acceptive
112,accessary
113,accessible
114,accessional
115,accessorial
116,accessory
117,accidental
118,accipitrine
119,acclivitous
120,accommodating
121,accommodational
122,accommodative
123,accompanied
124,accompanying
125,accomplishable
126,accomplished
127,accordant
128,according
129,accountable
130,accoutered
131,accoutred
132,accredited
133,accretionary
134,accretive
135,accrued
136,acculturational
137,acculturative
138,accumbent
139,accumulated
140,accumulative
141,accurate
142,accursed
143,accurst
144,accusative
145,accusatorial
146,accusatory
147,accusing
148,accusive
149,accustomed
150,ace
151,acellular
152,acentric
153,acephalous
154,acerate
155,acerb
156,acerbic
157,acerose
158,acervate
159,acetabular
160,acetic
161,acetonic
162,acetose
163,acetous
164,acetylenic
165,acetylic
166,achaean
167,achenial
168,acheronian
169,acherontic
170,achievable
171,aching
172,achlamydeous
173,achlorhydric
174,achondritic
175,achondroplastic
176,achromatic
177,achromatinic
178,achromatous
179,achromic
180,achromous
181,achy
182,acicular
183,aciculate
184,acid
185,acidic
186,acidimetric
187,acidophilic
188,acidophilous
189,acidotic
190,acidulent
191,acidulous
192,aciduric
193,acinar
194,acinic
195,acinose
196,acinous
197,acknowledgeable
198,acknowledged
199,acned
200,acneiform
201,acold
202,acoustic
203,acoustical
204,acquainted
205,acquiescent
206,acquirable
207,acquired
208,acquisitive
209,acquitted
210,acrid
211,acrimonious
212,acritical
213,acrobatic
214,acrocarpous
215,acrocentric
216,acrogenic
217,acrogenous
218,acromegalic
219,acronymic
220,acronymous
221,acropetal
222,acrophobic
223,acroscopic
224,actable
225,actinal
226,acting
227,actinic
228,actinoid
229,actinometric
230,actinometrical
231,actinomorphic
232,actinomorphous
233,actinomycetal
234,actinomycetous
235,actinomycotic
236,actionable
237,activated
238,activating
239,active
240,activist
241,activistic
242,actual
243,actuarial
244,actuated
245,actuating
246,acuate
247,aculeate
248,aculeated
249,acuminate
250,acute
251,acyclic
252,adactylous
253,adagio
254,adamant
255,adamantine
256,adaptable
257,adaptational
258,adaptative
259,adapted
260,adaptive
261,adaxial
262,addable
263,addible
264,addicted
265,addictive
266,additional
267,additive
268,addlebrained
269,addled
270,addlepated
271,addressable
272,addressed
273,adducent
274,adducting
275,adductive
276,adenocarcinomatous
277,adenoid
278,adenoidal
279,adept
280,adequate
281,adherent
282,adhesive
283,adiabatic
284,adient
285,adipose
286,adjacent
287,adjectival
288,adjective
289,adjudicative
290,adjudicatory
291,adjunct
292,adjunctive
293,adjuratory
294,adjustable
295,adjusted
296,adjustive
297,adjuvant
298,administrable
299,administrative
300,admirable
301,admired
302,admissible
303,admissive
304,admittable
305,admittible
306,admonishing
307,admonitory
308,adnate
309,adnexal
310,adolescent
311,adonic
312,adoptable
313,adopted
314,adoptive
315,adorable
316,adored
317,adoring
318,adorned
319,adpressed
320,adrenal
321,adrenergic
322,adrenocortical
323,adrenocorticotrophic
324,adrenocorticotropic
325,adrift
326,adroit
327,adscititious
328,adscript
329,adscripted
330,adsorbable
331,adsorbate
332,adsorbent
333,adsorptive
334,adulatory
335,adult
336,adulterant
337,adulterate
338,adulterated
339,adulterating
340,adulterine
341,adulterous
342,adumbrative
343,adust
344,advance
345,advanced
346,advancing
347,advantageous
348,advective
349,adventitial
350,adventitious
351,adventive
352,adventuresome
353,adventuristic
354,adventurous
355,adverbial
356,adversative
357,adverse
358,advertent
359,advertised
360,advisable
361,advised
362,advisory
363,adynamic
364,aecial
365,aegean
366,aeolian
367,aeolotropic
368,aeonian
369,aerated
370,aerial
371,aeriferous
372,aeriform
373,aerobic
374,aerobiotic
375,aerodynamic
376,aerolitic
377,aerological
378,aeromechanic
379,aeromedical
380,aeronautic
381,aeronautical
382,aerophilatelic
383,aerophilic
384,aerophilous
385,aerosolised
386,aerosolized
387,aery
388,aeschylean
389,aesculapian
390,aesthetic
391,aesthetical
392,aestival
393,aetiologic
394,aetiological
395,afeard
396,afeared
397,afebrile
398,affable
399,affected
400,affecting
401,affectional
402,affectionate
403,affective
404,afferent
405,affiliated
406,affinal
407,affine
408,affined
409,affirmable
410,affirmative
411,affirmatory
412,affixal
413,affixed
414,affixial
415,afflicted
416,afflictive
417,affluent
418,affordable
419,afghan
420,afghani
421,afghanistani
422,afire
423,aflame
424,aflare
425,aflicker
426,afloat
427,aflutter
428,afoot
429,aforementioned
